year_month,org_code,parent_org,org_name,total_attendances,waited_4_12h_dta_to_admission,waited_12h_plus_dta_to_admission
2025-04,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,2350,0,0
2025-04,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,2333,0,0
2025-04,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,2528,0,0
2025-04,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,6628,0,0
2025-04,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,3297,0,0
2025-04,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,338,0,0
2025-04,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,3055,0,0
2025-04,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0
2025-04,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5887,185,2
2025-04,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0
2025-04,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10067,507,609
2025-04,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,2866,0,0
2025-04,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15871,944,24
2025-04,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,4134,0,0
2025-04,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,2729,0,0
2025-04,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,1583,0,0
2025-04,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),3148,0,0
2025-04,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,1730,0,0
2025-04,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,913,0,0
2025-04,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0
2025-04,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8818,615,344
2025-04,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4406,163,278
2025-04,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,16726,318,13
2025-04,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,13070,0,0
2025-04,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,9195,0,0
2025-04,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,2244,0,0
2025-04,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,536,0,0
2025-04,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,1108,0,0
2025-04,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",7816,772,111
2025-04,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8877,439,5
2025-04,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,7455,234,709
2025-04,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,10777,198,24
2025-04,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,23684,643,814
2025-04,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,889,0,0
2025-04,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0
2025-04,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),2137,0,0
2025-04,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,1209,0,0
